Unnamed: 0,num_reservation,passeport,pension,date_arrive,date_depart,qte_chambre,adultes,enf_payant,enf_gratuit,bebe,segment
0,R1ARGFT,P70108096,DP,2024-07-09,2024-07-16,1.0,2.0,0.0,0.0,0.0,2-Agences
1,RKPGMER,P82677604,DP,2024-07-09,2024-07-11,1.0,2.0,0.0,0.0,0.0,2-Agences
2,RFVV4LZ,P20147920,DP,2024-07-09,2024-07-11,1.0,2.0,0.0,0.0,0.0,2-Agences
3,RULTXGQ,P42620965,DP,2024-07-09,2024-07-11,1.0,2.0,0.0,0.0,0.0,2-Agences
4,R06OBTK,P13413970,ALL IN,2024-07-09,2024-07-16,1.0,2.0,0.0,0.0,0.0,1-TO
5,RQJ33W2,P56450401,ALL IN,2024-07-09,2024-07-16,1.0,2.0,0.0,0.0,0.0,1-TO
6,RGSOFRJ,P59740873,ALL IN,2024-07-09,2024-07-16,1.0,2.0,0.0,0.0,0.0,1-TO
7,RGTNE9Z,P82131306,DP,2024-07-09,2024-07-12,1.0,2.0,0.0,0.0,0.0,2-Agences
8,R2HYE9N,P74667878,DP,2024-07-09,2024-07-12,1.0,2.0,0.0,0.0,0.0,2-Agences
9,RQS9TL9,P01394241,DP,2024-07-09,2024-07-12,1.0,2.0,0.0,0.0,0.0,2-Agences
10,RYD2SDY,P40651762,DP,2024-07-09,2024-07-11,1.0,2.0,0.0,0.0,0.0,2-Agences
11,RAPRXZO,P80534671,ALL IN,2024-07-09,2024-07-11,1.0,2.0,0.0,0.0,0.0,1-TO
12,RZK4JEQ,P79959162,DP,2024-07-09,2024-07-12,1.0,2.0,0.0,0.0,0.0,2-Agences
13,RQSELZQ,P43536143,DP,2024-07-09,2024-07-12,1.0,2.0,0.0,0.0,0.0,2-Agences
14,RZWFFHB,P56530613,DP,2024-07-09,2024-07-12,1.0,2.0,0.0,0.0,0.0,2-Agences
15,RYJH9SM,P56959773,ALL IN,2024-07-09,2024-07-15,1.0,2.0,0.0,0.0,0.0,1-TO
16,R5EQNOM,P03325125,ALL IN,2024-07-08,2024-07-18,1.0,2.0,0.0,0.0,0.0,1-TO
17,RU6B3Y2,P37527293,ALL IN,2024-07-08,2024-07-15,1.0,2.0,0.0,0.0,0.0,1-TO
18,RUHEJFW,P60867444,ALL IN,2024-07-08,2024-07-15,1.0,2.0,0.0,0.0,0.0,1-TO
19,RL8NFQ1,P44129051,ALL IN,2024-07-08,2024-07-15,1.0,2.0,0.0,0.0,0.0,1-TO
20,RGZ3ATU,P60656419,ALL IN,2024-07-08,2024-07-15,1.0,1.0,1.0,0.0,0.0,1-TO
21,RZLL9RM,P22063014,ALL IN,2024-07-08,2024-07-15,1.0,2.0,0.0,0.0,0.0,1-TO
22,RC2D2AZ,P68399204,ALL IN,2024-07-08,2024-07-18,1.0,3.0,0.0,0.0,0.0,1-TO
23,RV055OC,P99737455,ALL IN,2024-07-08,2024-07-15,1.0,2.0,0.0,0.0,0.0,1-TO
24,RQLRA3H,P59375693,ALL IN,2024-07-08,2024-07-15,1.0,2.0,0.0,0.0,0.0,1-TO
25,RXA47E4,P17564312,DP,2024-07-13,2024-07-20,1.0,2.0,0.0,0.0,0.0,2-Agences
26,RAYCB4I,P04585828,DP,2024-07-13,2024-07-20,1.0,2.0,0.0,0.0,0.0,2-Agences
27,RU2UDYE,P27681213,DP,2024-07-13,2024-07-15,1.0,2.0,0.0,0.0,0.0,2-Agences
28,RN69NP2,P41350236,DP,2024-07-13,2024-07-15,1.0,2.0,0.0,0.0,0.0,2-Agences
29,RDTL1VF,P71213933,DP,2024-07-13,2024-07-15,1.0,2.0,0.0,0.0,0.0,2-Agences
30,R0LE59K,P70082706,DP,2024-07-13,2024-07-15,1.0,2.0,0.0,0.0,0.0,2-Agences
