order_id,customer_name,email,product_category,quantity,unit_price,total_amount,order_date,delivery_date,payment_status,region,discount_percent,customer_age
7479,Charlie Garcia,user7478@example.com,Books,36.0,23.03,2307.07,2026-03-24,2026-02-03,Cancelled,South,19.94,26.0
915,Eve Williams,user914@example.com,Clothing,17.0,350.98,3072.46,2026-03-23,2025-09-20,Cancelled,West,30.86,150.0
3534,Alice Brown,@domain,Furniture,62.0,475.86,4365.74,2026-04-14,2025-11-14,Paid,West,41.56,26.0
7984,Frank Smith,user7983@example.com,Sports,89.0,226.89,3831.35,2026-01-05,2025-12-16,Cancelled,East,17.15,59.0
9317,Henry Smith,user9316@example.com,Furniture,63.0,341.76,1077.6,2026-04-12,2025-09-19,Paid,East,48.74,68.0
5152,Frank Brown,user5151@example.com,Clothing,35.0,267.42,2424.39,2026-03-23,2099-01-01,Refunded,West,0.24,30.0
6367,Alice Davis,user6366@example.com,Home,46.0,342.64,4492.06,2025-06-27,2025-05-22,PAID,North,27.63,150.0
6976,Henry Johnson,user6975@example.com,Books,3.0,410.63,2561.61,2025-06-05,2026-04-19,PAID,East,2.77,85.0
8760,Diana Williams,user8759@example.com,Toys,10.0,346.88,353.82,2026-03-12,2026-03-19,Cancelled,South,25.8,80.0
219,Diana Jones,user218@example.com,Home,-1.0,61.02,3455.58,2025-08-03,2025-09-10,Cancelled,North,31.53,27.0
4504,Bob Miller,user4503@example.com,Sports,87.0,103.18,2358.94,2025-09-06,2025-06-01,Failed,North,32.82,21.0
1924,Henry Miller,user1923@example.com,Clothing,30.0,244.49,2721.23,2025-09-17,2026-01-14,Paid,Central,33.97,54.0
7600,Diana Smith,user7599@example.com,Home,48.0,145.87,1167.96,2026-02-22,2026-01-23,Cancelled,North,37.35,77.0
190,Eve Garcia,user189@example.com,Sports,-1.0,261.22,1516.19,2026-01-06,2026-04-28,Failed,Central,46.3,22.0
4250,Frank Johnson,user4250@example.com,Clothing,6.0,448.56,4891.56,2025-11-12,2025-10-07,Refunded,Central,19.17,21.0
2037,Eve Johnson,user2036@example.com,Furniture,28.0,480.97,1372.31,2025-11-01,2026-01-17,Cancelled,West,999.0,55.0
5077,Frank Brown,user5076@example.com,Toys,24.0,176.83,2862.54,2025-11-01,2026-04-17,Refunded,North,28.2,36.0
6551,Alice Davis,user6550@example.com,Sports,22.0,999999.0,2377.89,2025-11-15,2025-11-17,Pending,North,3.17,49.0
8156,Charlie Davis,user8155@example.com,Sports,69.0,421.91,2424.39,2025-07-18,2025-05-21,Cancelled,North,1.58,28.0
7936,Bob Garcia,@domain,Sports,20.0,58.51,849.12,2025-08-20,2026-05-11,Refunded,West,9.53,31.0
3609,Henry Miller,user3608@example.com,Sports,49.0,-99.99,157.2,2025-09-19,2025-06-23,Cancelled,Central,2.77,47.0
3126,Frank Brown,user3125@example.com,Home,4.0,213.37,2326.6,2025-07-23,2026-03-27,Cancelled,East,41.15,43.0
6292,Frank Brown,user6291@example.com,Electronics,3.0,265.4,2424.39,2025-06-27,2026-04-29,Pending,South,38.93,66.0
4049,Diana Smith,user4048@example.com,Books,12.0,404.99,2321.66,2025-05-12,2025-06-14,Refunded,West,43.71,60.0
3404,Eve Smith,user3403@example.com,Toys,-5.0,280.97,4984.77,2025-09-01,2025-10-31,Refunded,East,150.0,75.0
8097,Henry Williams,user8096@example.com,Clothing,98.0,0.0,828.1,2026-02-19,2025-10-27,Paid,West,2.13,68.0
5136,Grace Williams,user5135@example.com,Sports,49.0,289.28,324.93,2025-12-21,2025-09-09,Failed,West,47.48,43.0
1735,Henry Johnson,@domain,Electronics,69.0,324.17,4960.57,2026-03-09,2025-11-06,Failed,Central,31.79,41.0
8521,Diana Miller,user8520@example.com,Sports,28.0,468.64,4572.24,2026-03-24,2025-11-17,Cancelled,South,16.6,45.0
622,Eve Jones,user621@example.com,Electronics,22.0,115.75,-50.0,2025-10-12,2025-11-17,Refunded,North,9.67,21.0
5537,Alice Jones,user5536@example.com,Toys,76.0,35.66,1978.04,2025-06-28,2025-11-13,Refunded,East,15.15,20.0
7304,Grace Smith,user7304@example.com,Furniture,88.0,133.98,1399.66,2025-12-28,2025-05-27,Cancelled,West,43.55,31.0
9224,Frank  Jones,user9223@example.com,Electronics,78.0,160.82,215.14,2025-11-01,2099-01-01,Refunded,South,20.45,22.0
5533,Bob Smith,user5532@example.com,Furniture,83.0,-10.0,1410.77,2050-12-31,2025-10-03,Refunded,East,-10.0,72.0
