order_id,customer_name,phone,order_date,delivery_date,quantity,unit_price,total_amount,product_category,shipping_status
1000,john,0210053353,2024-11-24,2024-11-25,72,311,22392,Books,shipped
1001,Jane Smith,0146654552,2024-12-15,2025-01-02,47,158,7426,Books,shipped
1002,John Doe,0781802744,2024-03-18,2024-04-17,99,-162,-16038,Food,delivered
1003,Jane Smith,0727694430,2024-07-19,2024-08-05,20,205,4100,Electronics,delivered
1004,John Doe,0103484630,2024-12-24,2025-01-23,65,408,26520,Electronics,shipped
1005,Jane Smith,0621828280,2024-11-16,2024-12-06,94,201,18894,Food,pending 
1006,John Doe,0133729406,2024-06-03,2024-06-21,61,347,21167,Electronics,Pending 
1007,Jane Smith,0297018781,2024-05-15,2024-06-12,70,95,6650,Clothing,shipped
1008,John Doe,0941128035,2024-09-22,2024-09-24,8,39,312,Clothing,delivered
1009,Jane Smith,0661333669,2024-06-09,2024-06-22,97,$319,30943, Electronics ,shipped
1010,John Doe,0855420240,2024-05-20,2024-06-11,18,154,2772,Food,pending
1011,Jane Smith,33927982963,2024-02-03,2024-02-05,17,24897,423249,Clothing,shipped
1012,John Doe,0354194771,2024-03-26,,86,65,,Books,pending
1013,Jane Smith,0930353157,2024-05-12,2024-05-30,-6,232,-1392,Electronics,shipped
ORD-14,John Doe,0896662826,2024-12-22,2025-01-21,93,366,34038,Clothing,delivered
1015,Jane Smith,0446012478,2024-08-15,2024-09-13,37,394,14578,Electronics,pending
1016,John Doe,0529123992,2024-04-05,2025-13-45,55,295,16225,Food,delivered
1017,Jane Smith,0270894498,2024-12-28,2025-01-18,31,173,5363,Clothing,shipped
1018,John Doe,0926561919,2024-10-23,2024-10-13,-5,285,-1425,Clothing,shipped
1019,Jane Smith,0237039296,2024-10-18,2024-10-11,55,118,6490,Books,pending
1020,john,0799816232,2024-01-25,2024-01-21,-8,248,-1984,Electronics,shipped
1021,john,0502982778,2024-07-23,2024-07-31,77,,0,ELECTRONICS,PENDING
1022,John Doe,0859466878,2024-03-14,2024-04-03,56,488,29643,Books,shipped
1023,Jane Smith,0852890318,2024-05-18,2024-05-14,98,18,14622,Food,shipped
1024,John Doe,0347538338,2024-02-24,2024-03-20,36,61,2196,Clothing,delivered
1025,Jane Smith,0113169872,2024-10-10,2024-10-12,9,86,774, Electronics ,delivered
1026,John Doe,0419280490,2024-10-14,2024-11-07,34,11,374,,shipped
1027,Jane Smith,0963187150,2024-04-14,2024-04-23,40,249,9960,Books,shipped
1028,,0717615339,2024-10-01,2024-10-03,57,261,14877,Electronics,delivered
1029,Jane Smith,N/A,2024-02-11,2024-03-10,70,$266,18620,Clothing,shipped
1030,John Doe,0356943695,2024-12-06,2025-13-45,15,376,5640,Books,shipped
1031,Jane Smith,0929653607,2024-07-11,2024-07-21,85,292,24820,Clothing,shipped
ORD-32,John Doe,0812630453,2024-11-05,2024-11-24,13,345,4485,Books,delivered
1033,Jane Smith,0680911523,2024-01-20,2024-01-15,13,163,,Food,shipped
1034,John Doe,0765408938,2024-08-21,,21,227,4767,Books,shipped
1035,Jane Smith,0394721069,2024-01-19,2024-02-18,37,107,3959,Clothing,delivered
ORD-36,,0416872439,2024-06-24,2024-07-23,22,392,8624,Clothing,shipped
1037,Jane Smith,N/A,2024-09-04,2024-09-23,87,$453,39411,Books,shipped
1038,  John  ,0204359116,2024-04-18,2024-05-12,94,218,20492,Books,pending
1039,Jane Smith,0396225446,2024-04-04,2024-04-11,N/A,45,0,Clothing,delivered
ORD-40,John Doe,0287364857,2024-02-22,2024-03-19,7,239,1673,Electro­nics,delivered
1041,Jane Smith,0165310776,2024-08-28,2024-09-27,19,176,3344,Books,pending
1042,John Doe,0584853393,2024-04-14,2024-04-18,20,231,48517,Electronics,shipped
1043,Jane Smith,0874233009,2024-01-10,2024-01-17,45,423,19035,Electronics,delivered
1044,John Doe,0106556040,2024-03-28,2024-04-21,-2,379,-758,Clothing,delivered
1045,Jane Smith,0331465414,2024-09-04,2024-09-23,N/A,-155,0,Electronics,PENDING
1046,John Doe,0965650861,2024-06-03,2024-06-18,74,176,13024,Food,pending
1047,Jane Smith,0464549612,2024-04-11,2024-04-28,94,141,13254,Clothing,shipped
1048,John Doe,0782146375,2024-10-11,2024-10-14,76,39,2964,Electronics,shipped
1049,Jane Smith,0713811693,2024-01-15,2024-02-07,N/A,196,0,Electronics,pending
1050,John Doe,0747145068,2024-03-11,2024-03-21,77,178,13706,Electronics,shipped
ORD-51,Jane Smith,0306164050,2024-04-05,2024-04-22,5,88,440,Clothing,Unknown Status
1052,John Doe,0941599226,2024-08-08,2024-08-24,74,280,20720,Food,PENDING
1053,Jane Smith,0406084084,2024-02-25,2024-03-23,58,201,11658,,delivered
1054,,0992398092,2024-03-25,,71,131,,Books,PENDING
1055,jOhN ,0412750915,2024-07-01,2024-07-23,68,,,Electronics,pending
1056,John Doe,0147605080,2024-06-18,2024-07-10,18,32,576,Books,shipped
ORD-57,Jane Smith,N/A,2024-11-11,2024-11-24,24,420,27920,Electro­nics,shipped
1058,John Doe,0557538651,2024-03-23,2024-04-22,8,357,,Books,pending
1059,Jane Smith,N/A,2024-03-22,2024-03-25,84,-96,-8064,Food,delivered
1060,John Doe,0585377142,2024-03-23,2024-04-20,71,484,34364,Clothing,shipped
ORD-61,Jane Smith,0757074545,2024-02-03,2024-02-20,17,186,3162,Clothing,pending
1062,John Doe,0342096876,2024-06-17,2024-07-08,79,88,6952,Electronics,Unknown Status
ORD-63,Jane Smith,0547306651,2024-10-21,2024-10-12,88,222,19536,Food,shipped
1064,John Doe,0387195524,2024-08-08,2024-09-05,21,91,1911,Electronics,PENDING
1065,Jane Smith,0631388604,2024-10-27,2024-11-24,47,109,5123,Food,delivered
1066,John Doe,0492566853,2024-03-07,,92pcs,273,25116,Food,delivered
