order_id,customer_name,email,product_category,quantity,unit_price,total_amount,order_date,delivery_date,payment_status,region,discount_percent,customer_age
7479,Charlie Garcia,user7478@example.com,Books,36,23.03,2307.07,2026-03-24,2026-02-03,n/a,South,19.94,26
915,Eve Williams,user914@example.com,Clothing,17,350.98,3072.46,2026-03-23,2025-09-20,Cancelled,West,30.86,150
3534,Alice Brown,,Furniture,62,475.86,4365.74,2026-04-14,2025-11-14,Paid,West,41.56,26
7984,Frank Smith,user7983@example.com,Sports,89,226.89,3831.35,2026-01-05,2025-12-16,n/a,East,17.15,59
9317,Henry Smith,user9316@example.com,Furniture,63,341.76,1077.6,2026-04-12,2025-09-19,Paid,East,48.74,68
5152,Frank Brown,user5151@example.com,Clothing,35,267.42,,2026-03-23,2099-01-01,Refunded,West,0.24,30
6367,,user6366@example.com,Home,46,342.64,4492.06,2025-06-27,2025-05-22,PAID,North,27.63,150
6976,Henry Johnson,user6975@example.com,Books,3,410.63,2561.61,2025-06-05,2026-04-19,PAID,East,2.77,85
8760,Diana Williams,user8759@example.com,Toys,10,346.88,353.82,2026-03-12,2026-03-19,Cancelled,South,,80
219,Diana Jones,user218@example.com,Home,-1,61.02,3455.58,2025-08-03,2025-09-10,Cancelled,North,31.53,27
4504,Bob Miller,user4503@example.com,Sports,87,103.18,2358.94,2025-09-06,2025-06-01,Failed,North,32.82,21
1924,Henry Miller,user1923@example.com,Clothing,30,N/A,2721.23,2025-09-17,2026-01-14,Paid,Central,33.97,54
7600,Diana Smith,user7599@example.com,Home,48,145.87,1167.96,2026-02-22,2026-01-23,UNKNOWN,North,37.35,77
190,Eve Garcia,user189@example.com,Sports,-1,261.22,1516.19,2026-01-06,2026-04-28,Failed,Central,46.3,22
4250,Frank Johnson,user4250@example.com,Clothing,6,448.56,4891.56,2025-11-12,2025-10-07,Refunded,Central,19.17,21
2037,Eve Johnson,user2036@example.com,Furniture,28,480.97,1372.31,invalid,2026-01-17,Cancelled,West,999,55
5077,Frank Brown,user5076@example.com,Toys,24,176.83,2862.54,,2026-04-17,Refunded,North,28.2,36
6551,,user6550@example.com,Sports,22,999999,2377.89,2025-11-15,,Pending,North,3.17,49
8156,Charlie Davis,user8155@example.com,Sports,69,421.91,error,2025-07-18,2025-05-21,,North,1.58,28
7936,Bob Garcia,,Sports,20,58.51,849.12,2025-08-20,2026-05-11,Refunded,West,9.53,31
3609,Henry Miller,user3608@example.com,Sports,text,-99.99,157.2,2025-09-19,2025-06-23,Cancelled,Central,2.77,47
3126,Frank Brown,user3125@example.com,Home,4,213.37,2326.6,2025-07-23,2026-03-27,Cancelled,East,41.15,43
6292,Frank Brown,user6291@example.com,unknown,3,265.4,error,2025-06-27,2026-04-29,Pending,South,38.93,66
4049,Diana Smith,user4048@example.com,Books,12,404.99,2321.66,2025-05-12,2025-06-14,Refunded,West,43.71,60
3404,Eve Smith,user3403@example.com,Toys,-5,280.97,4984.77,2025-09-01,2025-10-31,Refunded,,150,75
8097,Henry Williams,user8096@example.com,Clothing,98,0,828.1,2026-02-19,2025-10-27,Paid,West,2.13,68
5136,Grace Williams,user5135@example.com,Sports,text,289.28,324.93,2025-12-21,2025-09-09,Failed,West,47.48,43
1735,Henry Johnson,,Electronics,69,324.17,4960.57,2026-03-09,2025-11-06,Failed,Central,31.79,41
8521,Diana Miller,user8520@example.com,Sports,28,468.64,4572.24,2026-03-24,pending,Cancelled,South,16.6,45
622,Eve Jones,user621@example.com,,22,115.75,-50,2025-10-12,,Refunded,North,9.67,21
5537,Alice Jones,user5536@example.com,Toys,76,35.66,1978.04,2025-06-28,2025-11-13,Refunded,East,15.15,20
7304,Grace Smith,user7304@example.com,Furniture,88,133.98,1399.66,2025-12-28,2025-05-27,UNKNOWN,West,43.55,31
9224,Frank  Jones,user9223@example.com,Electronics,78,160.82,215.14,01/13/2024,2099-01-01,Refunded,South,20.45,22
5533,Bob Smith,user5532@example.com,Furniture,83,-10,1410.77,2050-12-31,2025-10-03,Refunded,East,-10,72
8127,Frank Williams,user8126@example.com,,82,5.12,3565.12,2026-04-07,2025-12-10,Cancelled,Central,4.9,34
4419,,user4418@example.com,Toys,34,90.07,112.23,2026-01-11,2025-08-06,Paid,West,45.21,85
2900,Diana Garcia,user2899@example.com,null,33,35.35,N/A,2025-11-13,2099-01-01,Paid,East,40.72,69
5597,Grace Miller,user5596@example.com,Books,68,205.35,1228.99,2025-08-24,,Paid,South,5.8,N/A
8009,Bob Garcia,user8008@example.com,Sports,75,68.04,2739.86,2025-07-11,2026-02-10,Paid,North,27.46,-1
1409,Henry Brown,user1408@example.com,Furniture,55,N/A,3526.11,2025-06-27,2026-01-08,Failed,West,37.68,82
5552,Diana Brown,user5551@example.com,Furniture,80,86.62,4746.77,2026-03-27,2025-06-07,Refunded,,43.76,56
6933,Grace  Williams,user6932@example.com,Home,82,362.11,1406.01,2026-04-24,2025-06-27,Paid,South,0.48,51
3543,Eve Miller,user3542@example.com,Clothing,32,243.76,N/A,2026-02-09,2026-05-18,PAID,South,22.25,44
740,Charlie Brown,user740@example.com,Furniture,5,101.48,923.73,2025-05-29,invalid,Cancelled,West,27.01,
7417,Eve Williams,user7416@example.com,Books,10,415.5,4588.13,2026-03-20,2026-05-03,Refunded,East,33.27,63
7072,Charlie Garcia,user7071@example.com,Books,31,341.71,-50,2050-12-31,2026-01-20,FAILED,East,1.14,84
305,Alice Miller,user304@example.com,Furniture,9,335.59,4909.8,2025-11-11,2025-12-05,Refunded,North,39.46,-5
2479,Alice Jones,,Home,50,-99.99,27.83,2025-12-05,2025-07-12,Paid,North,25.75,N/A
7205,Bob Davis,email,Electronics,97,270.56,4166.68,2026-02-23,,Pending,South,4.25,36
968,Diana Jones,user967@example.com,Toys,8,67.26,4717.51,2025-12-28,N/A,Cancelled,South,42.12,46
9594,Bob Miller,user18@example.com,Books,24,320.7,error,2025-10-01,2025-10-19,Paid,East,31.05,56
3502,Charlie Garcia,user3501@example.com,INVALID,81,235.35,N/A,2025-09-03,2025-11-17,Cancelled,South,25.76,74
6631,Charlie Miller,email,Books,40,435.94,1623.23,2025-10-27,2025-10-19,Paid,East,7.89,46
6914,Grace Brown,user6913@example.com,Furniture,12,260.72,1538.99,2026-04-09,2026-03-31,Failed,South,28.19,25
2586,Alice Miller,user2585@example.com,Furniture,-1,120.5,4638.47,,2026-04-08,Refunded,West,11.7,60
4270,,user4269@example.com,Books,58,82.6,-50,2025-09-02,2025-09-15,Failed,Central,48.6,25
6848,Henry Williams,user6847@example.com,Clothing,86,478.03,2883.25,2026-04-04,2025-09-26,Failed,MIDDLE,31.75,150
