order_id,customer_name,email,product_category,quantity,unit_price,total_amount,order_date,delivery_date,payment_status,region,discount_percent,customer_age
6661,Diana Jones,user6661@example.com,47,24,$377.81,3670.12,2026-03-01,2025-09-29,Cancelled,Central,12.19,57
4324,Henry Davis,user4324@example.com,Sports,72,10000000000.0,,2025-06-25,2025-07-31,Refunded,East,9.41,18
7666,EVE sMitH,user7666@example.com,Toys,55,420.83,1935.2,2025-12-30,2025-05-02,Failed, South ,36.19,10000
7998,Frank Johnson,user7998@example.com,Books,12,250.25,3408.76,2026-01-04,2026-02-23,2,South,23.64,46
8206,Bob Miller,'; DROP TABLE--@example.com,Clothing,......,288.95,999999999,2025-09-18,2026-03-16,Paid,***East***,14.24,67
13772,Bob Jones,,Clothing,5,$$$,549.5,,2025-09-18,ERROR_CODE_500,East,150,31.653
3189,Eve Garcia,...3189___@test.test.test.test,Sports,48,400.74,3412.54,2025-07-16,2025-05-27,Refunded,East,38.76,24
8120,Grace Garcia,user8120@example.com,Electronics,14,85.2,,2025-09-11,2025-07-26,Paid,North,6.03,38.307
0,,user13484@example.com,Books,,273.13,-100,2025-07-16,2026-04-30,2,🌍🌎🌏,36.28,66
2095,Bob Davis,user2095@example.com,Home,9,245.84,130.36,2026-01-04,2025-10-11,Refunded,West,N/A,-5
14019,Bob Smith,UsEr_14019@ExAmPlE.CoM,Furniture,72,168.61,4077.28,2025-12-02,2025-10-16,YESPLEASE,South,43.75,26
14703,   Bob Miller        ,UsEr_14703@ExAmPlE.CoM,Electronics,999999999,14.0,125.1,2050-06-15,9999-01-01,Pending,North,16.54,---
980,123456789,user980@example.com,59,94,,1545.05,1900-01-01,2026-04-08,Refunded,North,16.57,62.053
13557,Alice Johnson,user13557@example.com,Furniture,97,154.62,2756.99,2026-03-24,2026-04-10,Failed,East,24.93,56
14541,Charlie Garcia,user14541@example.com,Electronics,-999999,FREE,3081.23,null,,Failed, South ,8.37,70
450,None,user450@example.com,Sports,64,167.68,1425.94,2025-12-15,2025-10-22,Cancelled,West,500,58
8904,Grace Davis,user8904@example.com,Clothing,43,304.13,1722.64,2025-08-26,2026-03-09,Failed,East,29.95,76
